country,date,yearly_cases,yearly_deaths,yearly_cases_per_million,yearly_deaths_per_million,Region,IncomeGroup,date_health,health_percentage_gdp
El Salvador,2020,45960.0,1327.0,7318.157868715496,211.2966817185697,Latin America & Caribbean,Upper middle income,2020,8.95105076
El Salvador,2021,75781.0,2496.0,12066.521354419694,397.43520540282594,Latin America & Caribbean,Upper middle income,2021,10.12668991
El Salvador,2022,80044.0,407.0,12745.313934801201,64.80614126560499,Latin America & Caribbean,Upper middle income,2022,9.84079742
Equatorial Guinea,2019,,,,,Sub-Saharan Africa,Upper middle income,2019,3.16780853
Equatorial Guinea,2020,5277.0,86.0,2925.983755993914,47.68516259531488,Sub-Saharan Africa,Upper middle income,2020,3.99582434
Equatorial Guinea,2021,8433.0,89.0,4675.918327515004,49.348598499802605,Sub-Saharan Africa,Upper middle income,2021,3.39468098
Equatorial Guinea,2022,3379.0,8.0,1873.5833070880117,4.435829078633958,Sub-Saharan Africa,Upper middle income,2022,2.91350007
Eritrea,2019,,,,,Sub-Saharan Africa,Low income,2019,4.64806461
Eritrea,2020,1252.0,1.0,367.2192847612503,0.2933061379882191,Sub-Saharan Africa,Low income,2020,4.31046677
Eritrea,2021,6730.0,74.0,1973.9503086607144,21.70465421112822,Sub-Saharan Africa,Low income,2021,4.17839003
Eritrea,2022,2207.0,28.0,647.3266465399993,8.212571863670128,Sub-Saharan Africa,Low income,2022,3.87447667
Estonia,2019,,,,,Europe & Central Asia,High income,2019,6.81699181
